﻿objectid;insee;annee;sante_plaf;educ_plaf;revenu_plaf;idh2;nomcom;pop
2333;93013;2006;0.48935755;0.27723125;0.27100632;0.34586504;Le Bourget;12720
2730;77117;1999;0.63367702;0.06348077;0.3462999;0.34781923;Citry;682
3097;77496;1999;;0.10465403;0.45980969;;Vieux-Champagne;190
3306;78443;1999;0.37805867;0.44177749;0.6505439;0.49012669;Neauphle-le-Vieux;704
3386;78668;1999;0.40272674;0.24288837;0.53934506;0.39498672;La Villeneuve-en-Chevrie;533
3683;94041;1999;0.46864079;0.24681872;0.34010208;0.35185386;Ivry-sur-Seine;50951
3735;95060;1999;0.45236454;0.23235014;0.50684642;0.39718703;Bessancourt;6998
3883;95628;1999;0.56676743;0.40942668;0.55953425;0.51190945;Valmondois;1206
91;77073;2013;0.53681843;0.42453812;0.59070045;0.51735233;Chalautre-la-Petite;599
278;77267;2013;0.57900491;0.41089883;0.50446645;0.4981234;La Madeleine-sur-Loing;344
397;77392;2013;0.8454444;0.60386657;0.59631322;0.68187473;Rouvres;706
581;78128;2013;0.69953317;0.76864516;0.73627521;0.73481785;Cernay-la-Ville;1633
582;78133;2013;0.74556047;0.75989736;0.73429726;0.74658503;Chambourcy;5835
690;78402;2013;0.65567238;0.47202199;0.58913957;0.57227798;Mézières-sur-Seine;3626
791;78677;2013;0.76581076;0.63281378;0.62754458;0.67538971;Villette;524
1054;93059;2013;0.59128487;0.25254106;0.14142472;0.32841688;Pierrefitte-sur-Seine;28459
2457;95150;2006;;0.45495656;0.49599515;;Chaussy;647
2509;95331;2006;;0.50742372;0.57936578;;Lassy;164
2540;95452;2006;0.63084613;0.3977417;0.58214425;0.53691069;Nointel;718
3080;77478;1999;0.4383971;0.13611884;0.43403151;0.33618249;Ussy-sur-Marne;841
3090;77489;1999;;0.04417042;;;Vaux-sur-Lunain;193
3191;78164;1999;0.3148119;0.72435067;0.6978227;0.57899509;Clairefontaine-en-Yvelines;792
3652;93059;1999;0.46722276;0.11171824;0.15795458;0.24563186;Pierrefitte-sur-Seine;25789
395;77390;2013;0.57659836;0.41385484;0.48282752;0.49109358;Roissy-en-Brie;22559
433;77429;2013;0.61777852;0.35153079;0.50404235;0.49111722;Saint-Ouen-sur-Morin;553
479;77475;2013;0.63620231;0.37494721;0.54556834;0.51890596;Trilport;4930
688;78398;2013;0.63530301;0.71568182;0.75263563;0.70120682;Les Mesnuls;841
769;78608;2013;0.0;0.47828446;0.6375024;0.37192895;Le Tertre-Saint-Denis;116
873;91248;2013;0.5975028;0.65152493;0.52056874;0.58986549;La Forêt-Sainte-Croix;161
954;91573;2013;0.5735802;0.58896628;0.5794071;0.58065119;Saint-Pierre-du-Perray;9758
